prior,run,seed,iteration,log_X,order,symmetry,ising
cppn,5,47,0,0.0,0.0,0.84609375,0.985383064516129
cppn,5,47,1,-0.02,0.0,1.0,1.0
cppn,5,47,2,-0.04,0.0,0.75,0.983366935483871
cppn,5,47,3,-0.06,0.0,0.60078125,0.9722782258064516
cppn,5,47,4,-0.08,0.0,1.0,1.0
cppn,5,47,5,-0.1,0.0,0.63046875,0.9637096774193548
cppn,5,47,6,-0.12,0.0,0.63203125,0.9793346774193548
cppn,5,47,7,-0.14,0.0,1.0,1.0
cppn,5,47,8,-0.16,0.0,0.4984375,0.9778225806451613
cppn,5,47,9,-0.18,0.0,0.970703125,0.9949596774193548
cppn,5,47,10,-0.2,0.0,1.0,1.0
cppn,5,47,11,-0.22,0.0,0.56328125,0.9808467741935484
cppn,5,47,12,-0.24,0.0,0.47265625,0.9763104838709677
cppn,5,47,13,-0.26,0.0,1.0,1.0
cppn,5,47,14,-0.28,0.0,1.0,1.0
cppn,5,47,15,-0.3,0.0,0.663671875,0.9778225806451613
cppn,5,47,16,-0.32,0.0,0.518359375,0.9717741935483871
cppn,5,47,17,-0.34,0.0,1.0,1.0
cppn,5,47,18,-0.36,0.0,1.0,1.0
cppn,5,47,19,-0.38,0.0,1.0,1.0
cppn,5,47,20,-0.4,0.0,0.890625,0.9894153225806452
cppn,5,47,21,-0.42,0.0,0.99140625,0.9919354838709677
cppn,5,47,22,-0.44,0.0,0.45625,0.9753024193548387
cppn,5,47,23,-0.46,0.0,1.0,1.0
cppn,5,47,24,-0.48,0.0,1.0,1.0
cppn,5,47,25,-0.5,0.0,0.783203125,0.9803427419354839
cppn,5,47,26,-0.52,0.0,1.0,1.0
cppn,5,47,27,-0.54,0.0,0.996484375,0.9984879032258065
cppn,5,47,28,-0.56,0.0,0.7125,0.9803427419354839
cppn,5,47,29,-0.58,0.0,0.701171875,0.9742943548387097
cppn,5,47,30,-0.6,0.0,0.9734375,0.9889112903225806
cppn,5,47,31,-0.62,0.0,0.47109375,0.9747983870967742
cppn,5,47,32,-0.64,0.0,1.0,1.0
cppn,5,47,33,-0.66,0.0,0.9953125,0.997983870967742
cppn,5,47,34,-0.68,0.0,1.0,1.0
cppn,5,47,35,-0.7,0.0,0.49140625,0.9747983870967742
cppn,5,47,36,-0.72,0.0,0.49765625,0.9778225806451613
cppn,5,47,37,-0.74,0.0,1.0,1.0
cppn,5,47,38,-0.76,0.0,0.544921875,0.9783266129032258
cppn,5,47,39,-0.78,0.0,0.6828125,0.9778225806451613
cppn,5,47,40,-0.8,0.0,1.0,1.0
cppn,5,47,41,-0.82,0.0,0.648828125,0.9783266129032258
cppn,5,47,42,-0.84,0.0,1.0,1.0
cppn,5,47,43,-0.86,0.0,1.0,1.0
cppn,5,47,44,-0.88,0.0,0.6203125,0.9758064516129032
cppn,5,47,45,-0.9,0.0,0.718359375,0.9763104838709677
cppn,5,47,46,-0.92,0.0,1.0,1.0
cppn,5,47,47,-0.94,0.0,0.41875,0.9722782258064516
cppn,5,47,48,-0.96,0.0,1.0,1.0
cppn,5,47,49,-0.98,0.0,1.0,1.0
cppn,5,47,50,-1.0,0.0,0.75078125,0.9798387096774194
cppn,5,47,51,-1.02,0.0,1.0,1.0
cppn,5,47,52,-1.04,0.0,0.425,0.9768145161290323
cppn,5,47,53,-1.06,0.0,0.45,0.9753024193548387
cppn,5,47,54,-1.08,0.0,0.53671875,0.9742943548387097
cppn,5,47,55,-1.1,0.0,1.0,1.0
cppn,5,47,56,-1.12,0.0,0.50390625,0.969758064516129
cppn,5,47,57,-1.14,0.0,0.5203125,0.9793346774193548
cppn,5,47,58,-1.16,0.0,0.771484375,0.984375
cppn,5,47,59,-1.18,0.0,0.3953125,0.9753024193548387
cppn,5,47,60,-1.2,0.0,1.0,1.0
cppn,5,47,61,-1.22,0.0,0.532421875,0.9737903225806452
cppn,5,47,62,-1.24,0.0,1.0,1.0
cppn,5,47,63,-1.26,0.0,1.0,1.0
cppn,5,47,64,-1.28,0.0,1.0,1.0
cppn,5,47,65,-1.3,0.0,1.0,1.0
cppn,5,47,66,-1.32,0.0,1.0,1.0
cppn,5,47,67,-1.34,0.0,0.7046875,0.9783266129032258
cppn,5,47,68,-1.36,0.0,0.476171875,0.9732862903225806
cppn,5,47,69,-1.38,0.0,0.42421875,0.9753024193548387
cppn,5,47,70,-1.4,0.0,0.46015625,0.9818548387096775
cppn,5,47,71,-1.42,0.0,1.0,1.0
cppn,5,47,72,-1.44,0.0,0.70859375,0.9793346774193548
cppn,5,47,73,-1.46,0.0,0.730078125,0.983366935483871
cppn,5,47,74,-1.48,0.0,0.917578125,0.9894153225806452
cppn,5,47,75,-1.5,0.0,1.0,1.0
cppn,5,47,76,-1.52,0.0,1.0,1.0
cppn,5,47,77,-1.54,0.0,0.525,0.9793346774193548
cppn,5,47,78,-1.56,0.0,0.9984375,0.998991935483871
cppn,5,47,79,-1.58,0.0,1.0,1.0
cppn,5,47,80,-1.6,0.0,1.0,1.0
cppn,5,47,81,-1.62,0.0,0.583984375,0.9778225806451613
cppn,5,47,82,-1.64,0.0,0.725,0.9657258064516129
cppn,5,47,83,-1.66,0.0,1.0,1.0
cppn,5,47,84,-1.68,0.0,0.6875,0.9627016129032258
cppn,5,47,85,-1.7,0.0,1.0,1.0
cppn,5,47,86,-1.72,0.0,0.56328125,0.9808467741935484
cppn,5,47,87,-1.74,0.0,0.436328125,0.9778225806451613
cppn,5,47,88,-1.76,0.0,1.0,1.0
cppn,5,47,89,-1.78,0.0,1.0,1.0
cppn,5,47,90,-1.8,0.0,1.0,1.0
cppn,5,47,91,-1.82,0.0,0.741015625,0.9808467741935484
cppn,5,47,92,-1.84,0.0,1.0,1.0
cppn,5,47,93,-1.86,0.0,1.0,1.0
cppn,5,47,94,-1.88,0.0,0.555078125,0.9798387096774194
cppn,5,47,95,-1.9,0.0,1.0,1.0
cppn,5,47,96,-1.92,0.0,1.0,1.0
cppn,5,47,97,-1.94,0.0,1.0,1.0
cppn,5,47,98,-1.96,0.0,0.712890625,0.9768145161290323
cppn,5,47,99,-1.98,0.0,1.0,1.0
cppn,5,47,100,-2.0,0.0,0.9859375,0.9959677419354839
