prior,run,seed,iteration,log_X,order,symmetry,ising
dsl,6,48,0,0.0,0.0,0.4,0.9838709677419355
dsl,6,48,1,-0.02,0.0,0.8,0.967741935483871
dsl,6,48,2,-0.04,0.0,0.4,0.9838709677419355
dsl,6,48,3,-0.06,0.0,0.71875,0.936491935483871
dsl,6,48,4,-0.08,0.0,0.50625,0.96875
dsl,6,48,5,-0.1,0.0,1.0,0.967741935483871
dsl,6,48,6,-0.12,0.0,0.4,0.9838709677419355
dsl,6,48,7,-0.14,0.0,0.4,0.9838709677419355
dsl,6,48,8,-0.16,0.0,0.4,0.9838709677419355
dsl,6,48,9,-0.18,0.0,1.0,1.0
dsl,6,48,10,-0.2,0.0,0.578125,0.9838709677419355
dsl,6,48,11,-0.22,0.0,0.4,0.9516129032258065
dsl,6,48,12,-0.24,0.0,0.4,0.9838709677419355
dsl,6,48,13,-0.26,0.0,1.0,1.0
dsl,6,48,14,-0.28,0.0,0.4,0.9838709677419355
dsl,6,48,15,-0.3,0.0,0.4,0.9838709677419355
dsl,6,48,16,-0.32,0.0,0.4,0.9838709677419355
dsl,6,48,17,-0.34,0.0,1.0,0.939516129032258
dsl,6,48,18,-0.36,0.0,0.4,0.9838709677419355
dsl,6,48,19,-0.38,0.0,1.0,0.939516129032258
dsl,6,48,20,-0.4,0.0,0.4,0.9838709677419355
dsl,6,48,21,-0.42,0.0,0.71875,0.936491935483871
dsl,6,48,22,-0.44,0.0,0.4,0.9838709677419355
dsl,6,48,23,-0.46,0.0,0.4,0.9838709677419355
dsl,6,48,24,-0.48,0.0,0.4,0.9838709677419355
dsl,6,48,25,-0.5,0.0,1.0,1.0
dsl,6,48,26,-0.52,0.0,0.4,0.9112903225806452
dsl,6,48,27,-0.54,0.0,1.0,0.939516129032258
dsl,6,48,28,-0.56,0.0,1.0,1.0
dsl,6,48,29,-0.58,0.0,1.0,0.939516129032258
dsl,6,48,30,-0.6,0.0,0.4,0.9838709677419355
dsl,6,48,31,-0.62,0.0,0.4,0.9838709677419355
dsl,6,48,32,-0.64,0.0,0.4,0.9838709677419355
dsl,6,48,33,-0.66,7.4364124293737285e-06,1.0,1.0
dsl,6,48,34,-0.68,7.4364124293737285e-06,1.0,1.0
dsl,6,48,35,-0.7,7.4364124293737285e-06,1.0,1.0
dsl,6,48,36,-0.72,7.4364124293737285e-06,1.0,1.0
dsl,6,48,37,-0.74,7.4364124293737285e-06,1.0,1.0
dsl,6,48,38,-0.76,7.4364124293737285e-06,1.0,1.0
dsl,6,48,39,-0.78,7.4364124293737285e-06,1.0,1.0
dsl,6,48,40,-0.8,7.4364124293737285e-06,1.0,1.0
dsl,6,48,41,-0.82,7.4364124293737285e-06,1.0,1.0
dsl,6,48,42,-0.84,7.4364124293737285e-06,1.0,1.0
dsl,6,48,43,-0.86,7.4364124293737285e-06,1.0,1.0
dsl,6,48,44,-0.88,7.4364124293737285e-06,1.0,1.0
dsl,6,48,45,-0.9,7.4364124293737285e-06,1.0,1.0
dsl,6,48,46,-0.92,7.4364124293737285e-06,1.0,1.0
dsl,6,48,47,-0.94,7.4364124293737285e-06,1.0,1.0
dsl,6,48,48,-0.96,7.4364124293737285e-06,1.0,1.0
dsl,6,48,49,-0.98,7.4364124293737285e-06,1.0,1.0
dsl,6,48,50,-1.0,7.4364124293737285e-06,1.0,1.0
dsl,6,48,51,-1.02,7.4364124293737285e-06,1.0,1.0
dsl,6,48,52,-1.04,7.4364124293737285e-06,1.0,1.0
dsl,6,48,53,-1.06,7.4364124293737285e-06,1.0,1.0
dsl,6,48,54,-1.08,7.4364124293737285e-06,1.0,1.0
dsl,6,48,55,-1.1,7.4364124293737285e-06,1.0,1.0
dsl,6,48,56,-1.12,7.4364124293737285e-06,1.0,1.0
dsl,6,48,57,-1.14,7.4364124293737285e-06,1.0,1.0
dsl,6,48,58,-1.16,7.4364124293737285e-06,1.0,1.0
dsl,6,48,59,-1.18,7.4364124293737285e-06,1.0,1.0
dsl,6,48,60,-1.2,7.4364124293737285e-06,1.0,1.0
dsl,6,48,61,-1.22,7.4364124293737285e-06,1.0,1.0
dsl,6,48,62,-1.24,7.4364124293737285e-06,1.0,1.0
dsl,6,48,63,-1.26,7.4364124293737285e-06,1.0,1.0
dsl,6,48,64,-1.28,7.4364124293737285e-06,1.0,1.0
dsl,6,48,65,-1.3,7.4364124293737285e-06,1.0,1.0
dsl,6,48,66,-1.32,7.4364124293737285e-06,1.0,1.0
dsl,6,48,67,-1.34,7.4364124293737285e-06,1.0,1.0
dsl,6,48,68,-1.36,7.4364124293737285e-06,1.0,1.0
dsl,6,48,69,-1.38,7.4364124293737285e-06,1.0,1.0
dsl,6,48,70,-1.4,7.4364124293737285e-06,1.0,1.0
dsl,6,48,71,-1.42,7.4364124293737285e-06,1.0,1.0
dsl,6,48,72,-1.44,7.4364124293737285e-06,1.0,1.0
dsl,6,48,73,-1.46,7.4364124293737285e-06,1.0,1.0
dsl,6,48,74,-1.48,7.4364124293737285e-06,1.0,1.0
dsl,6,48,75,-1.5,7.4364124293737285e-06,1.0,1.0
dsl,6,48,76,-1.52,7.4364124293737285e-06,1.0,1.0
dsl,6,48,77,-1.54,7.4364124293737285e-06,1.0,1.0
dsl,6,48,78,-1.56,7.4364124293737285e-06,1.0,1.0
dsl,6,48,79,-1.58,7.4364124293737285e-06,1.0,1.0
dsl,6,48,80,-1.6,7.4364124293737285e-06,1.0,1.0
dsl,6,48,81,-1.62,7.4364124293737285e-06,1.0,1.0
dsl,6,48,82,-1.64,7.4364124293737285e-06,1.0,1.0
dsl,6,48,83,-1.66,7.4364124293737285e-06,1.0,1.0
dsl,6,48,84,-1.68,7.4364124293737285e-06,1.0,1.0
