prior,run,seed,iteration,log_X,order,symmetry,ising
uniform,9,51,0,0.0,0.0,0.494140625,0.4939516129032258
uniform,9,51,1,-0.02,0.0,0.490234375,0.49143145161290325
uniform,9,51,2,-0.04,0.0,0.500390625,0.5115927419354839
uniform,9,51,3,-0.06,0.0,0.494140625,0.5196572580645161
uniform,9,51,4,-0.08,0.0,0.519140625,0.4944556451612903
uniform,9,51,5,-0.1,0.0,0.490234375,0.49143145161290325
uniform,9,51,6,-0.12,0.0,0.500390625,0.4969758064516129
uniform,9,51,7,-0.14,0.0,0.494140625,0.5196572580645161
uniform,9,51,8,-0.16,0.0,0.503125,0.5015120967741935
uniform,9,51,9,-0.18,0.0,0.487890625,0.516633064516129
uniform,9,51,10,-0.2,0.0,0.494140625,0.5196572580645161
uniform,9,51,11,-0.22,0.0,0.51953125,0.4954637096774194
uniform,9,51,12,-0.24,0.0,0.491796875,0.5105846774193549
uniform,9,51,13,-0.26,0.0,0.523046875,0.5045362903225806
uniform,9,51,14,-0.28,0.0,0.494140625,0.5196572580645161
uniform,9,51,15,-0.3,0.0,0.499609375,0.5131048387096774
uniform,9,51,16,-0.32,0.0,0.508203125,0.5005040322580645
uniform,9,51,17,-0.34,0.0,0.500390625,0.5065524193548387
uniform,9,51,18,-0.36,0.0,0.493359375,0.49747983870967744
uniform,9,51,19,-0.38,0.0,0.490234375,0.5065524193548387
uniform,9,51,20,-0.4,0.0,0.499609375,0.516633064516129
uniform,9,51,21,-0.42,0.0,0.508203125,0.5035282258064516
uniform,9,51,22,-0.44,0.0,0.512109375,0.4949596774193548
uniform,9,51,23,-0.46,0.0,0.487890625,0.516633064516129
uniform,9,51,24,-0.48,0.0,0.523046875,0.5045362903225806
uniform,9,51,25,-0.5,0.0,0.491796875,0.48639112903225806
uniform,9,51,26,-0.52,0.0,0.5,0.5161290322580645
uniform,9,51,27,-0.54,0.0,0.50546875,0.49243951612903225
uniform,9,51,28,-0.56,0.0,0.50859375,0.5115927419354839
uniform,9,51,29,-0.58,0.0,0.503125,0.5015120967741935
uniform,9,51,30,-0.6,0.0,0.490234375,0.4732862903225806
uniform,9,51,31,-0.62,0.0,0.501171875,0.5035282258064516
uniform,9,51,32,-0.64,0.0,0.495703125,0.4904233870967742
uniform,9,51,33,-0.66,0.0,0.5015625,0.5141129032258065
uniform,9,51,34,-0.68,0.0,0.500390625,0.49798387096774194
uniform,9,51,35,-0.7,0.0,0.488671875,0.5126008064516129
uniform,9,51,36,-0.72,0.0,0.49140625,0.49143145161290325
uniform,9,51,37,-0.74,0.0,0.499609375,0.516633064516129
uniform,9,51,38,-0.76,0.0,0.50625,0.49193548387096775
uniform,9,51,39,-0.78,0.0,0.512109375,0.5196572580645161
uniform,9,51,40,-0.8,0.0,0.506640625,0.4808467741935484
uniform,9,51,41,-0.82,0.0,0.496875,0.5131048387096774
uniform,9,51,42,-0.84,0.0,0.512109375,0.5196572580645161
uniform,9,51,43,-0.86,0.0,0.512109375,0.5196572580645161
uniform,9,51,44,-0.88,0.0,0.50546875,0.49243951612903225
uniform,9,51,45,-0.9,0.0,0.50625,0.49193548387096775
uniform,9,51,46,-0.92,0.0,0.519140625,0.4944556451612903
uniform,9,51,47,-0.94,0.0,0.501171875,0.5035282258064516
uniform,9,51,48,-0.96,0.0,0.491796875,0.48639112903225806
uniform,9,51,49,-0.98,0.0,0.514453125,0.49243951612903225
uniform,9,51,50,-1.0,0.0,0.51640625,0.5040322580645161
uniform,9,51,51,-1.02,0.0,0.52109375,0.5090725806451613
uniform,9,51,52,-1.04,0.0,0.493359375,0.49747983870967744
uniform,9,51,53,-1.06,0.0,0.51640625,0.5040322580645161
uniform,9,51,54,-1.08,0.0,0.5015625,0.5141129032258065
uniform,9,51,55,-1.1,0.0,0.494140625,0.5196572580645161
uniform,9,51,56,-1.12,0.0,0.51953125,0.4954637096774194
uniform,9,51,57,-1.14,0.0,0.50546875,0.49243951612903225
uniform,9,51,58,-1.16,0.0,0.495703125,0.4904233870967742
uniform,9,51,59,-1.18,0.0,0.5109375,0.4879032258064516
uniform,9,51,60,-1.2,0.0,0.50390625,0.4994959677419355
uniform,9,51,61,-1.22,0.0,0.496875,0.5131048387096774
uniform,9,51,62,-1.24,0.0,0.499609375,0.516633064516129
uniform,9,51,63,-1.26,0.0,0.5,0.5161290322580645
uniform,9,51,64,-1.28,0.0,0.504296875,0.5050403225806451
uniform,9,51,65,-1.3,0.0,0.494140625,0.5196572580645161
uniform,9,51,66,-1.32,0.0,0.5015625,0.5141129032258065
uniform,9,51,67,-1.34,0.0,0.493359375,0.49747983870967744
uniform,9,51,68,-1.36,0.0,0.500390625,0.49798387096774194
uniform,9,51,69,-1.38,0.0,0.50625,0.49193548387096775
uniform,9,51,70,-1.4,0.0,0.504296875,0.5050403225806451
uniform,9,51,71,-1.42,0.0,0.5,0.5161290322580645
uniform,9,51,72,-1.44,0.0,0.499609375,0.5131048387096774
uniform,9,51,73,-1.46,0.0,0.512109375,0.5196572580645161
uniform,9,51,74,-1.48,0.0,0.50625,0.49193548387096775
uniform,9,51,75,-1.5,0.0,0.506640625,0.4808467741935484
uniform,9,51,76,-1.52,0.0,0.491796875,0.48639112903225806
uniform,9,51,77,-1.54,0.0,0.5109375,0.4879032258064516
uniform,9,51,78,-1.56,0.0,0.50859375,0.5115927419354839
uniform,9,51,79,-1.58,0.0,0.490234375,0.4732862903225806
uniform,9,51,80,-1.6,0.0,0.501171875,0.5035282258064516
uniform,9,51,81,-1.62,0.0,0.500390625,0.5115927419354839
uniform,9,51,82,-1.64,0.0,0.506640625,0.4808467741935484
uniform,9,51,83,-1.66,0.0,0.50859375,0.5115927419354839
uniform,9,51,84,-1.68,0.0,0.51640625,0.5040322580645161
uniform,9,51,85,-1.7,0.0,0.499609375,0.5131048387096774
uniform,9,51,86,-1.72,0.0,0.49140625,0.49143145161290325
uniform,9,51,87,-1.74,0.0,0.50859375,0.5115927419354839
uniform,9,51,88,-1.76,0.0,0.51953125,0.4954637096774194
uniform,9,51,89,-1.78,0.0,0.495703125,0.4904233870967742
uniform,9,51,90,-1.8,0.0,0.50546875,0.49243951612903225
uniform,9,51,91,-1.82,0.0,0.50625,0.4813508064516129
uniform,9,51,92,-1.84,0.0,0.50390625,0.4994959677419355
uniform,9,51,93,-1.86,0.0,0.499609375,0.5131048387096774
uniform,9,51,94,-1.88,0.0,0.490625,0.5075604838709677
uniform,9,51,95,-1.9,0.0,0.493359375,0.49747983870967744
uniform,9,51,96,-1.92,0.0,0.493359375,0.49747983870967744
uniform,9,51,97,-1.94,0.0,0.50390625,0.4994959677419355
uniform,9,51,98,-1.96,0.0,0.494140625,0.5196572580645161
uniform,9,51,99,-1.98,0.0,0.512109375,0.4949596774193548
uniform,9,51,100,-2.0,0.0,0.500390625,0.4969758064516129
uniform,9,51,101,-2.02,0.0,0.491796875,0.5105846774193549
uniform,9,51,102,-2.04,0.0,0.501171875,0.5035282258064516
uniform,9,51,103,-2.06,0.0,0.493359375,0.49747983870967744
uniform,9,51,104,-2.08,0.0,0.501171875,0.5035282258064516
uniform,9,51,105,-2.1,0.0,0.512109375,0.4964717741935484
uniform,9,51,106,-2.12,0.0,0.50859375,0.5115927419354839
uniform,9,51,107,-2.14,0.0,0.514453125,0.49243951612903225
uniform,9,51,108,-2.16,0.0,0.50625,0.4813508064516129
uniform,9,51,109,-2.18,0.0,0.51953125,0.4954637096774194
uniform,9,51,110,-2.2,0.0,0.49140625,0.49143145161290325
uniform,9,51,111,-2.22,0.0,0.50859375,0.5115927419354839
uniform,9,51,112,-2.24,0.0,0.490234375,0.5065524193548387
uniform,9,51,113,-2.26,0.0,0.5046875,0.49798387096774194
uniform,9,51,114,-2.28,0.0,0.50625,0.49193548387096775
uniform,9,51,115,-2.3,0.0,0.496875,0.5131048387096774
uniform,9,51,116,-2.32,0.0,0.494140625,0.5196572580645161
uniform,9,51,117,-2.34,0.0,0.500390625,0.49798387096774194
uniform,9,51,118,-2.36,0.0,0.490625,0.49798387096774194
uniform,9,51,119,-2.38,0.0,0.51875,0.4969758064516129
uniform,9,51,120,-2.4,0.0,0.503125,0.5015120967741935
uniform,9,51,121,-2.42,0.0,0.501171875,0.5035282258064516
uniform,9,51,122,-2.44,0.0,0.510546875,0.5035282258064516
uniform,9,51,123,-2.46,0.0,0.494140625,0.5196572580645161
uniform,9,51,124,-2.48,0.0,0.508203125,0.5005040322580645
uniform,9,51,125,-2.5,0.0,0.5109375,0.4879032258064516
uniform,9,51,126,-2.52,0.0,0.5015625,0.5141129032258065
uniform,9,51,127,-2.54,0.0,0.5,0.5161290322580645
uniform,9,51,128,-2.56,0.0,0.49140625,0.49143145161290325
uniform,9,51,129,-2.58,0.0,0.51953125,0.4954637096774194
uniform,9,51,130,-2.6,0.0,0.52109375,0.5090725806451613
