prior,run,seed,iteration,log_X,order,symmetry,ising
cppn,5,47,0,-0.02,0.004147380080290953,1.0,1.0
cppn,5,47,1,-0.04,0.004147380080290953,1.0,1.0
cppn,5,47,2,-0.06,0.004147380080290953,1.0,1.0
cppn,5,47,3,-0.08,0.004147380080290953,1.0,1.0
cppn,5,47,4,-0.1,0.004147380080290953,1.0,1.0
cppn,5,47,5,-0.12,0.004147380080290953,1.0,1.0
cppn,5,47,6,-0.14,0.004147380080290953,1.0,1.0
cppn,5,47,7,-0.16,0.004147380080290953,1.0,1.0
cppn,5,47,8,-0.18,0.004147380080290953,1.0,1.0
cppn,5,47,9,-0.2,0.004147380080290953,1.0,1.0
cppn,5,47,10,-0.22,0.004147380080290953,1.0,1.0
cppn,5,47,11,-0.24,0.004147380080290953,1.0,1.0
cppn,5,47,12,-0.26,0.004147380080290953,1.0,1.0
cppn,5,47,13,-0.28,0.004147380080290953,1.0,1.0
cppn,5,47,14,-0.3,0.004147380080290953,1.0,1.0
cppn,5,47,15,-0.32,0.004274991775069136,1.0,1.0
cppn,5,47,16,-0.34,0.004274991775069136,1.0,1.0
cppn,5,47,17,-0.36,0.004274991775069136,1.0,1.0
cppn,5,47,18,-0.38,0.004274991775069136,1.0,1.0
cppn,5,47,19,-0.4,0.004274991775069136,1.0,1.0
cppn,5,47,20,-0.42,0.004274991775069136,1.0,1.0
cppn,5,47,21,-0.44,0.004274991775069136,1.0,1.0
cppn,5,47,22,-0.46,0.004274991775069136,1.0,1.0
cppn,5,47,23,-0.48,0.004274991775069136,1.0,1.0
cppn,5,47,24,-0.5,0.004274991775069136,1.0,1.0
cppn,5,47,25,-0.52,0.004274991775069136,1.0,1.0
cppn,5,47,26,-0.54,0.004274991775069136,1.0,1.0
cppn,5,47,27,-0.56,0.004274991775069136,1.0,1.0
cppn,5,47,28,-0.58,0.004274991775069136,1.0,1.0
cppn,5,47,29,-0.6,0.004274991775069136,1.0,1.0
cppn,5,47,30,-0.62,0.004274991775069136,1.0,1.0
cppn,5,47,31,-0.64,0.004274991775069136,1.0,1.0
cppn,5,47,32,-0.66,0.004274991775069136,1.0,1.0
cppn,5,47,33,-0.68,0.0062942609248775126,0.9984375,0.998991935483871
cppn,5,47,34,-0.7,0.010288533458617218,0.970703125,0.9949596774193548
cppn,5,47,35,-0.72,0.012003059603500038,0.962109375,0.9934475806451613
cppn,5,47,36,-0.74,0.01359819531612915,0.9734375,0.9889112903225806
cppn,5,47,37,-0.76,0.018309061345386346,0.991796875,0.9858870967741935
cppn,5,47,38,-0.78,0.01924448142499273,0.915625,0.9894153225806452
cppn,5,47,39,-0.8,0.019664213494996596,0.917578125,0.9894153225806452
cppn,5,47,40,-0.82,0.02073978592813002,0.921875,0.9884072580645161
cppn,5,47,41,-0.84,0.02676073289892084,0.844140625,0.9848790322580645
cppn,5,47,42,-0.86,0.026928936185494003,0.840625,0.9818548387096775
cppn,5,47,43,-0.88,0.036231890246212206,0.84609375,0.985383064516129
