prior,run,seed,iteration,log_X,order,symmetry,ising
dsl,1,43,0,-0.02,0.004147380080290953,1.0,1.0
dsl,1,43,1,-0.04,0.004147380080290953,1.0,1.0
dsl,1,43,2,-0.06,0.004147380080290953,1.0,1.0
dsl,1,43,3,-0.08,0.004147380080290953,1.0,1.0
dsl,1,43,4,-0.1,0.004147380080290953,1.0,1.0
dsl,1,43,5,-0.12,0.004147380080290953,1.0,1.0
dsl,1,43,6,-0.14,0.004274991775069136,1.0,1.0
dsl,1,43,7,-0.16,0.004274991775069136,1.0,1.0
dsl,1,43,8,-0.18,0.004274991775069136,1.0,1.0
dsl,1,43,9,-0.2,0.004274991775069136,1.0,1.0
dsl,1,43,10,-0.22,0.004274991775069136,1.0,1.0
dsl,1,43,11,-0.24,0.004274991775069136,1.0,1.0
dsl,1,43,12,-0.26,0.004274991775069136,1.0,1.0
dsl,1,43,13,-0.28,0.004274991775069136,1.0,1.0
dsl,1,43,14,-0.3,0.004274991775069136,1.0,1.0
dsl,1,43,15,-0.32,0.004274991775069136,1.0,1.0
dsl,1,43,16,-0.34,0.004274991775069136,1.0,1.0
dsl,1,43,17,-0.36,0.004274991775069136,1.0,1.0
dsl,1,43,18,-0.38,0.004274991775069136,1.0,1.0
dsl,1,43,19,-0.4,0.004274991775069136,1.0,1.0
dsl,1,43,20,-0.42,0.004274991775069136,1.0,1.0
dsl,1,43,21,-0.44,0.004274991775069136,1.0,1.0
dsl,1,43,22,-0.46,0.004274991775069136,1.0,1.0
dsl,1,43,23,-0.48,0.004274991775069136,1.0,1.0
dsl,1,43,24,-0.5,0.004274991775069136,1.0,1.0
dsl,1,43,25,-0.52,0.004274991775069136,1.0,1.0
dsl,1,43,26,-0.54,0.004274991775069136,1.0,1.0
dsl,1,43,27,-0.56,0.004274991775069136,1.0,1.0
dsl,1,43,28,-0.58,0.004274991775069136,1.0,1.0
dsl,1,43,29,-0.6,0.007137786211201717,0.99765625,0.997983870967742
dsl,1,43,30,-0.62,0.02947736048565229,0.9234375,0.9848790322580645
dsl,1,43,31,-0.64,0.03267414095586792,0.6,0.9838709677419355
