prior,run,seed,iteration,log_X,order,symmetry,ising
uniform,5,47,0,-0.02,1.4036075833468571e-06,0.4859375,0.46673387096774194
uniform,5,47,1,-0.04,3.0061903147944186e-06,0.519140625,0.4783266129032258
uniform,5,47,2,-0.06,3.040136448217329e-06,0.510546875,0.4783266129032258
uniform,5,47,3,-0.08,3.556488210597759e-06,0.4875,0.4793346774193548
uniform,5,47,4,-0.1,4.194692071677925e-06,0.51796875,0.48235887096774194
uniform,5,47,5,-0.12,4.3964022425852e-06,0.503515625,0.47731854838709675
uniform,5,47,6,-0.14,4.573077611220427e-06,0.489453125,0.4879032258064516
uniform,5,47,7,-0.16,5.381167027728275e-06,0.507421875,0.48538306451612906
uniform,5,47,8,-0.18,6.014031430252406e-06,0.500390625,0.484375
uniform,5,47,9,-0.2,6.246869354270781e-06,0.506640625,0.484375
uniform,5,47,10,-0.22,6.261808926729602e-06,0.496875,0.4879032258064516
uniform,5,47,11,-0.24,6.83890626609498e-06,0.51171875,0.4889112903225806
uniform,5,47,12,-0.26,7.119946064049144e-06,0.513671875,0.4884072580645161
uniform,5,47,13,-0.28,9.299338232801688e-06,0.499609375,0.4889112903225806
uniform,5,47,14,-0.3,9.403523025980925e-06,0.51171875,0.4909274193548387
uniform,5,47,15,-0.32,9.826925703570112e-06,0.51171875,0.4934475806451613
uniform,5,47,16,-0.34,1.0747608920640716e-05,0.49609375,0.49798387096774194
uniform,5,47,17,-0.36,1.0894742290045009e-05,0.521484375,0.4884072580645161
uniform,5,47,18,-0.38,1.0957733465957473e-05,0.49140625,0.4959677419354839
uniform,5,47,19,-0.4,1.1344798165391089e-05,0.5078125,0.4944556451612903
uniform,5,47,20,-0.42,1.146534160008693e-05,0.50625,0.49294354838709675
uniform,5,47,21,-0.44,1.1548271573142833e-05,0.4984375,0.49193548387096775
uniform,5,47,22,-0.46,1.1859925598753531e-05,0.49921875,0.49294354838709675
uniform,5,47,23,-0.48,1.214085291150062e-05,0.492578125,0.4894153225806452
uniform,5,47,24,-0.5,1.2619344764790219e-05,0.50078125,0.49193548387096775
uniform,5,47,25,-0.52,1.2711224809581435e-05,0.487109375,0.49294354838709675
uniform,5,47,26,-0.54,1.3262031489691186e-05,0.48203125,0.49848790322580644
uniform,5,47,27,-0.56,1.3318710193909397e-05,0.5078125,0.49848790322580644
uniform,5,47,28,-0.58,1.358172478115435e-05,0.48984375,0.49143145161290325
uniform,5,47,29,-0.6,1.3589724551506627e-05,0.5140625,0.4959677419354839
uniform,5,47,30,-0.62,1.3615535936050287e-05,0.48046875,0.4939516129032258
uniform,5,47,31,-0.64,1.3659128657038979e-05,0.512109375,0.4934475806451613
uniform,5,47,32,-0.66,1.3875902947338917e-05,0.494140625,0.5015120967741935
uniform,5,47,33,-0.68,1.423620872571157e-05,0.5125,0.4994959677419355
uniform,5,47,34,-0.7,1.4512140378946895e-05,0.49921875,0.49848790322580644
uniform,5,47,35,-0.72,1.4722184800997403e-05,0.502734375,0.5
uniform,5,47,36,-0.74,1.4780923098073804e-05,0.48984375,0.49848790322580644
uniform,5,47,37,-0.76,1.5298521914812334e-05,0.505078125,0.5025201612903226
uniform,5,47,38,-0.78,1.539730423772735e-05,0.499609375,0.4964717741935484
uniform,5,47,39,-0.8,1.5654312311643397e-05,0.488671875,0.4964717741935484
uniform,5,47,40,-0.82,1.575687565335463e-05,0.505859375,0.49848790322580644
uniform,5,47,41,-0.84,1.5956395219089613e-05,0.494140625,0.4964717741935484
uniform,5,47,42,-0.86,1.650752971645161e-05,0.515625,0.49899193548387094
uniform,5,47,43,-0.88,1.6511186876323496e-05,0.509375,0.5
uniform,5,47,44,-0.9,1.6691575731042515e-05,0.5015625,0.49899193548387094
uniform,5,47,45,-0.92,1.6809261011805297e-05,0.50390625,0.5015120967741935
uniform,5,47,46,-0.94,1.682586285369876e-05,0.50234375,0.5
uniform,5,47,47,-0.96,1.6992248710599275e-05,0.50703125,0.49848790322580644
uniform,5,47,48,-0.98,1.741201431652955e-05,0.494921875,0.5005040322580645
uniform,5,47,49,-1.0,1.8212296566589982e-05,0.496875,0.5030241935483871
uniform,5,47,50,-1.02,1.9863109314951404e-05,0.506640625,0.5015120967741935
uniform,5,47,51,-1.04,1.989172848815138e-05,0.50546875,0.5045362903225806
uniform,5,47,52,-1.06,1.9934732508676514e-05,0.508203125,0.4964717741935484
