Domain,Total,Validated,Refuted,Inconclusive,Validation Rate (%)
activation_composition,1,0,0,1,0.0
activation_distribution,1,0,1,0,0.0
activation_dynamics,4,0,4,0,0.0
activation_gradient_flow,2,1,1,0,50.0
activation_mixing,1,0,1,0,0.0
activation_patterns,1,1,0,0,100.0
activation_saturation,1,0,1,0,0.0
activation_saturation_pattern,1,0,1,0,0.0
activation_statistics,1,0,1,0,0.0
aspect_ratio,1,0,1,0,0.0
batch_correlation,1,1,0,0,100.0
bias_removal_benefit,1,1,0,0,100.0
bias_role,1,0,1,0,0.0
bit_precision,1,0,1,0,0.0
boundary_analysis,1,0,1,0,0.0
boundary_effects,1,0,1,0,0.0
boundary_structure,1,0,0,1,0.0
component_correlation,1,0,1,0,0.0
compression_agreement,1,1,0,0,100.0
compression_mechanics,1,0,1,0,0.0
compression_theory,2,1,1,0,50.0
connection_density,1,1,0,0,100.0
contour_complexity,1,1,0,0,100.0
convergence_dynamics,3,2,1,0,66.7
convergence_rate,1,0,1,0,0.0
convergence_speed,1,1,0,0,100.0
coord_scaling,1,1,0,0,100.0
coordinate_effects,1,0,1,0,0.0
coordinate_encoding,1,1,0,0,100.0
coordinate_input_ablation,1,0,1,0,0.0
coordinate_warping,1,0,0,1,0.0
cppn_architecture,3,1,1,1,33.3
cppn_expressivity,1,1,0,0,100.0
curvature_sampling_difficulty,1,0,1,0,0.0
decision_boundary_complexity,1,0,1,0,0.0
density_patterns,1,0,1,0,0.0
edge_density_opt,1,0,1,0,0.0
edge_orientation,1,1,0,0,100.0
energy_landscape,1,1,0,0,100.0
ensemble_averaging,1,0,0,1,0.0
ensemble_cppn,1,0,1,0,0.0
ensemble_properties,1,0,0,1,0.0
entropy_rate,1,1,0,0,100.0
error_correction,1,0,1,0,0.0
ess_acceptance_rate,1,1,0,0,100.0
expressivity_vs_structure,1,0,1,0,0.0
feature_extraction,1,0,1,0,0.0
feature_geometry,1,0,1,0,0.0
feature_independence,1,0,1,0,0.0
feature_interaction,1,1,0,0,100.0
fourier_decomposition,1,1,0,0,100.0
fractal_dimension,1,0,0,1,0.0
frequency_content,1,1,0,0,100.0
gate_interactions,1,0,1,0,0.0
generative_discriminative,1,0,0,1,0.0
generative_discriminative_tradeoff,1,1,0,0,100.0
generator_comparison,1,0,1,0,0.0
geometric_structure,1,0,0,1,0.0
gradient_landscape,1,0,1,0,0.0
gradient_magnitude,1,0,1,0,0.0
hidden_node_count,1,1,0,0,100.0
image_decomposition,1,0,0,1,0.0
image_morphology,1,0,1,0,0.0
image_statistics,1,0,1,0,0.0
information_bottleneck,1,0,0,1,0.0
information_decomposition,1,1,0,0,100.0
information_flow,2,0,2,0,0.0
information_geometry,1,1,0,0,100.0
information_limits,1,0,0,1,0.0
information_theory,2,1,1,0,50.0
input_encoding,1,0,0,1,0.0
input_noise_robustness,1,0,1,0,0.0
input_perturbation,1,0,1,0,0.0
intrinsic_dimension,2,1,1,0,50.0
jacobian_analysis,1,1,0,0,100.0
kolmogorov_complexity,2,2,0,0,100.0
landscape_topology,1,1,0,0,100.0
latent_interpolation,1,0,1,0,0.0
layer_contribution,1,0,1,0,0.0
local_global_fraction,1,0,1,0,0.0
local_minima,1,1,0,0,100.0
manifold_structure,1,0,1,0,0.0
meta_analysis,2,1,0,1,50.0
metric_analysis,2,1,1,0,50.0
metric_sensitivity,2,0,2,0,0.0
multi_scale_order,1,1,0,0,100.0
multiscale_analysis,1,1,0,0,100.0
mutual_info_layers,1,0,1,0,0.0
nested_sampling_dynamics,1,1,0,0,100.0
network_architecture,1,0,1,0,0.0
network_capacity,1,0,1,0,0.0
network_sensitivity,1,0,1,0,0.0
network_topology,1,0,0,1,0.0
noise_injection,2,1,1,0,50.0
noise_robustness,1,1,0,0,100.0
nonlinearity_role,1,0,1,0,0.0
optimization_landscape,1,1,0,0,100.0
optimization_paths,3,0,3,0,0.0
order_components,1,0,1,0,0.0
order_metric,1,1,0,0,100.0
order_metric_alternatives,1,0,1,0,0.0
order_prediction_model,1,0,1,0,0.0
order_stability,1,0,1,0,0.0
output_activation,1,1,0,0,100.0
output_distribution,1,0,1,0,0.0
output_diversity,1,1,0,0,100.0
output_quantization,1,1,0,0,100.0
output_statistics,1,0,1,0,0.0
path_length_analysis,1,0,1,0,0.0
path_topology,1,0,1,0,0.0
pattern_classification,1,1,0,0,100.0
pattern_emergence,1,0,1,0,0.0
pattern_statistics,1,0,1,0,0.0
